Nom SSII,page drupal,nombre d'inscrits sur drupal.org,nombre d'issues résolues dans les 3 derniers mois,nombre de contributions dans un module drupal,nombre de développeurs contribuant à des modules drupal
Commerce Guys,https://www.drupal.org/node/1121114,12,213,9089,12
DrupalJedi,https://www.drupal.org/node/1667952,86,108,877,34
Skilld,https://www.drupal.org/node/2158995,60,47,11,4
Adyax,https://www.drupal.org/node/1652872,91,12,859,43
Capgemini,https://www.drupal.org/node/1772260,238,17,281,45
Savoir-faire Linux,https://www.drupal.org/node/2597820,6,21,158,6
Translations.com,https://www.drupal.org/node/2632752,7,,109,6
Open Web Solutions,https://www.drupal.org/node/2343557,14,17,1911,14
AMPLEXOR International,https://www.drupal.org/node/1977766,18,15,197,17
Happyculture,https://www.drupal.org/node/2155243,4,11,802,4
Smile,https://www.drupal.org/node/2357989,39,17,577,39
Mirum Agency,https://www.drupal.org/node/2447355,38,9,883,37
Actualys,https://www.drupal.org/node/2267247,11,11,1280,7
OSInet,https://www.drupal.org/node/1121720,6,4,1034,2
Code Enigma,https://www.drupal.org/node/1416770,14,,743,10
ACINO,https://www.drupal.org/node/2677754,1,5,275,1
Insite,https://www.drupal.org/node/1290778,4,3,129,4
Flocon de toile,https://www.drupal.org/node/2276965,1,8,111,1
Makina Corpus,https://www.drupal.org/node/1888158,19,3,1591,16
Koriolis,https://www.drupal.org/node/1142418,6,,115,6
Chipway,https://www.drupal.org/node/2551533,3,3,17,2
NeoLynk,https://www.drupal.org/node/2853114,2,4,150,2
Absyx,https://www.drupal.org/node/1765114,1,,312,1
Linnovate,https://www.drupal.org/node/1124818,13,,237,11
Reading Room,https://www.drupal.org/node/2091073,16,3,105,16
ETECTURE GmbH,https://www.drupal.org/node/2595117,15,,62,13
Sogeti,https://www.drupal.org/node/1156702,29,,375,29
Studio.gd,https://www.drupal.org/node/2294521,7,,31,4
Eurelis,https://www.drupal.org/node/2508117,5,,50,5
Breek,https://www.drupal.org/node/1827288,3,,124,3
Trained People,https://www.drupal.org/node/1786772,3,,35,1
BlueSoft,https://www.drupal.org/node/2844653,16,,0,0
Itelios do Brasil,https://www.drupal.org/node/1975304,15,,19,7
MaPS System,https://www.drupal.org/node/1890206,3,,7,1
Acolad Développements,https://www.drupal.org/node/2376327,1,,42,1
Neuros Digital,https://www.drupal.org/node/2792183,2,,0,0
Alter Way,https://www.drupal.org/node/2203823,11,,27,11
Atenea tech,https://www.drupal.org/node/1790128,5,,31,5
Ausy,https://www.drupal.org/node/2510684,43,,53,43
BibLibre,https://www.drupal.org/node/1822786,9,,1661,9
Numerizen,https://www.drupal.org/node/1124526,1,,25,1
Pixopat Studio,https://www.drupal.org/node/2016131,1,,2,1
Revealads Creative,https://www.drupal.org/node/2432649,2,,2,2
Stratis,https://www.drupal.org/node/2366141,2,,0,0
Synodes,https://www.drupal.org/node/2348069,1,,8,1
